"driverId","raceId","año","circuitId","fecha","hora","pos_en_carrera","acumulado_victorias","fecha_nac","referencia","nacionalidad","tiempo_total","tiempo_medio","num_vuelta_rapida","tiempo_mas_rapido","tiempo_medio_box","tiempo_total_box","num_veces_box","q1","q2","q3","puntos_carrera","vel_vuelta_rapida","edad","q1_ms","q2_ms","q3_ms"
1,1094,2022,32,2022-10-30,20,5,0,1985-01-07,"hamilton","British",5931915,83548.0985915493,32,82062,23194,23194,1,"1:19.169","1:18.552","1:18.084",18,188.813,37,79169,78552,78084
1,1095,2022,18,2022-11-13,18,5,0,1985-01-07,"hamilton","British",5915573,83317.9295774648,63,73942,23748,47496,2,"1:13.403","1:11.539","1:12.611",18,209.791,37,73403,71539,72611
1,1096,2022,24,2022-11-20,13,6,0,1985-01-07,"hamilton","British",5056987,91945.2181818182,42,89788,21270,21270,1,"1:25.594","1:24.774","1:24.508",0,211.738,37,85594,84774,84508
1,1098,2023,3,2023-03-05,15,5,0,1985-01-07,"hamilton","British",5687713,99784.4385964912,36,96546,24686,49372,2,"1:31.543","1:30.513","1:30.384",10,201.802,38,91543,90513,90384
1,1099,2023,77,2023-03-19,17,5,0,1985-01-07,"hamilton","British",4905959,98119.18,47,92941,21102,21102,1,"1:29.689","1:29.374","1:29.223",10,239.145,38,89689,89374,89223
1,1100,2023,1,2023-04-02,5,4,0,1985-01-07,"hamilton","British",9158550,157906.034482759,49,80613,1218762,3656286,3,"1:17.689","1:17.551","1:17.104",18,235.703,38,77689,77551,77104
1,1101,2023,73,2023-04-30,11,4,0,1985-01-07,"hamilton","British",5608581,109972.176470588,48,105346,20324,20324,1,"1:42.113","1:41.650","1:41.177",8,205.141,38,102113,101650,101177
1,1102,2023,79,2023-05-07,19,4,0,1985-01-07,"hamilton","British",5309490,93148.9473684211,57,90669,22150,22150,1,"1:27.846","1:27.975","\N",8,214.882,38,87846,87975,0
1,1104,2023,6,2023-05-28,13,4,0,1985-01-07,"hamilton","British",6571042,84244.1282051282,33,75650,25639.5,51279,2,"1:12.872","1:12.156","1:11.725",13,158.799,38,72872,72156,71725
1,1105,2023,4,2023-06-04,13,4,0,1985-01-07,"hamilton","British",5302030,80333.7878787879,62,76676,22653,45306,2,"1:12.937","1:12.999","1:12.818",18,218.649,38,72937,72999,72818
1,1106,2023,7,2023-06-18,18,4,0,1985-01-07,"hamilton","British",5652516,80750.2285714286,47,75396,24044,48088,2,"1:21.554","1:20.426","1:27.627",15,208.228,38,81554,80426,87627
